כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
דוכיפת 10,88.1,05/12/2021,"1,840,000 ₪",11193-295-8,דירה בבית קומות,4,שלישית,2008,"20,885 ₪",4
צופית 11,107.14,25/11/2021,"1,800,000 ₪",11193-262-3,דירה בבית קומות,5,שניה,2002,"16,822 ₪",3
צופית 11,107.14,04/07/2003,"1,006,000 ₪",11193-262-3,דירה בבית קומות,5,שניה,2002,"16,822 ₪",3
בת חן 28,101.67,04/11/2021,"2,350,000 ₪",11193-272-2,דירה בבית קומות,5,קרקע,2010,"23,267 ₪",4
בת חן 28,101.67,30/05/2011,"2,050,000 ₪",11193-272-2,דירה בבית קומות,5,קרקע,2010,"23,267 ₪",4
דוכיפת 15,116.5,28/10/2021,"2,050,000 ₪",11193-344-7,דירה בבית קומות,6,שלישית ורביעית,2002,"17,672 ₪",3
דוכיפת 15,116.5,30/06/2003,"1,050,000 ₪",11193-344-7,דירה בבית קומות,6,שלישית ורביעית,2002,"17,672 ₪",3
בת חן 4,114,21/10/2021,"1,900,000 ₪",11193-300-3,דירת גן,5,רביעית,2000,"16,667 ₪",3
דוכיפת 14,83.25,17/10/2021,"1,750,000 ₪",11193-297-3,דירה בבית קומות,4,ראשונה,2002,"21,084 ₪",3
בת חן 7,125.7,12/10/2021,"2,820,000 ₪",11193-337-2,דירה בבית קומות,5,ראשונה,2014,"22,560 ₪",5
בת חן 7,125.7,25/08/2014,"2,200,000 ₪",11193-337-2,דירה בבית קומות,5,ראשונה,2014,"22,560 ₪",5
דוכיפת 4,105.8,01/10/2021,"1,780,000 ₪",11193-292-6,דירה בבית קומות,4,שלישית ורביעית,2000,"16,952 ₪",2
דוכיפת 4,105.8,27/07/2014,"1,655,000 ₪",11193-292-6,דירה בבית קומות,4,שלישית ורביעית,2000,"16,952 ₪",2
דוכיפת 4,105.8,22/07/2009,"1,400,000 ₪",11193-292-6,דירה בבית קומות,4,שלישית ורביעית,2000,"16,952 ₪",2
דוכיפת 11,116.2,14/09/2021,"1,750,000 ₪",11193-344-23,דירה בבית קומות,5,שלישית ורביעית,2000,"15,086 ₪",3
דוכיפת 11,116.2,29/06/2000,"1,183,000 ₪",11193-344-23,דירה בבית קומות,5,שלישית ורביעית,2000,"15,086 ₪",3
דוכיפת 11,116.2,14/09/2021,חלק נמכר,11193-344-23,דירה בבית קומות,5,שלישית ורביעית,2000,"15,086 ₪",3
דוכיפת 11,116.2,מחיר,1,11193-344-23,דירה בבית קומות,5,שלישית ורביעית,2000,"15,086 ₪",3
דוכיפת 11,116.2,33%,"577,500 ₪",11193-344-23,דירה בבית קומות,5,שלישית ורביעית,2000,"15,086 ₪",3
דוכיפת 11,116.2,2,33%,11193-344-23,דירה בבית קומות,5,שלישית ורביעית,2000,"15,086 ₪",3
דוכיפת 11,116.2,"577,500 ₪",3,11193-344-23,דירה בבית קומות,5,שלישית ורביעית,2000,"15,086 ₪",3
צופית 22,72.3,02/08/2021,"1,340,000 ₪",11193-258-7,דירה בבית קומות,4,קומה 2,2001,"18,534 ₪",6
דוכיפת 3,127.67,11/07/2021,"2,250,000 ₪",11193-339-1,דירת גן,5,קרקע,2002,"17,717 ₪",4
דוכיפת 3,127.67,05/12/2007,"1,449,000 ₪",11193-339-1,דירת גן,5,קרקע,2002,"17,717 ₪",4
דוכיפת 3,127.67,11/07/2021,חלק נמכר,11193-339-1,דירת גן,5,קרקע,2002,"17,717 ₪",4
דוכיפת 3,127.67,מחיר,1,11193-339-1,דירת גן,5,קרקע,2002,"17,717 ₪",4
דוכיפת 3,127.67,50%,"1,125,000 ₪",11193-339-1,דירת גן,5,קרקע,2002,"17,717 ₪",4
דוכיפת 3,127.67,2,50%,11193-339-1,דירת גן,5,קרקע,2002,"17,717 ₪",4
דוכיפת 3,127.67,"1,125,000 ₪","2,250,000 ₪",11193-339-1,דירת גן,5,קרקע,2002,"17,717 ₪",4
דוכיפת 8,87.1,24/06/2021,"1,800,000 ₪",11193-294-4,דירה בבית קומות,4,שניה,2007,"20,690 ₪",4
דוכיפת 8,87.1,22/04/2008,"850,000 ₪",11193-294-4,דירה בבית קומות,4,שניה,2007,"20,690 ₪",4
דוכיפת 14,77.61,13/06/2021,"1,560,000 ₪",11193-297-6,דירה בבית קומות,3,שניה,2002,"20,260 ₪",3
דוכיפת 14,77.61,24/09/2002,"840,000 ₪",11193-297-6,דירה בבית קומות,3,שניה,2002,"20,260 ₪",3
צופית 13,98.96,10/06/2021,"1,980,000 ₪",11193-261-1,דירה בבית קומות,5,קרקע,2002,"20,204 ₪",5
צופית 13,98.96,22/05/2009,"1,250,000 ₪",11193-261-1,דירה בבית קומות,5,קרקע,2002,"20,204 ₪",5
צופית 22,87.3,27/05/2021,"1,300,000 ₪",11193-258-1,דירה בבית קומות,3,קומה 1,2001,"14,891 ₪",6
בת חן 36,120,20/05/2021,"1,940,000 ₪",11193-276-7,דירה בבית קומות,5,ראשונה,2013,"16,167 ₪",3
בת חן 36,120,29/05/2013,"2,030,000 ₪",11193-276-7,דירה בבית קומות,5,ראשונה,2013,"16,167 ₪",3
בת חן 17,109.17,06/05/2021,"2,036,000 ₪",11193-316-3,דירה בבית קומות,5,שניה,1999,"18,679 ₪",3
בת חן 17,109.17,24/10/1999,"854,000 ₪",11193-316-3,דירה בבית קומות,5,שניה,1999,"18,679 ₪",3
דוכיפת 13,94.7,01/03/2021,"1,650,000 ₪",11193-344-10,דירה בבית קומות,4,קרקע,2000,"17,423 ₪",3
בת חן 58,121,16/02/2021,"2,200,000 ₪",11193-290-2,דירה בבית קומות,5,"קרקע, ראשונה",2000,"18,182 ₪",3
