כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
פרויד 30,120,08/04/2014,"1,485,000 ₪",10785-40-1,דירה בבית קומות,5,קרקע,1970,"12,375 ₪",3
פרויד 30,120,13/03/2005,"870,000 ₪",10785-40-1,דירה בבית קומות,5,קרקע,1970,"12,375 ₪",3
ללא כתובת,120,03/04/2014,"1,799,000 ₪",10792-267-1,דירה בבית קומות,5,לא ידוע,0,"14,992 ₪",0
אלברט שוויצר 63,99,27/03/2014,"2,520,000 ₪",10792-162-1,דירה בבית קומות,5,רביעית,1992,"25,455 ₪",0
אלברט שוויצר 48,156,24/03/2014,"2,150,000 ₪",10792-134-4,דירה בבית קומות,6,שניה ושלישית,1991,"13,782 ₪",2
פרויד 36,102.56,21/03/2014,"1,500,000 ₪",10785-43-6,דירה בבית קומות,4,רביעית,1970,"14,706 ₪",5
פרויד 36,102.56,15/02/2009,"855,000 ₪",10785-43-6,דירה בבית קומות,4,רביעית,1970,"14,706 ₪",5
אלברט שוויצר 5,111.7,07/02/2014,"1,450,000 ₪",10794-106-2,דירה בבית קומות,3.5,קרקע ראשונה שניה,1988,"12,981 ₪",0
אלברט שוויצר 37,98,06/02/2014,"1,780,000 ₪",10793-62-2,דירה בבית קומות,5,לא ידוע,1980,"18,163 ₪",0
מארק שאגאל 8,105,04/02/2014,"1,899,000 ₪",10794-96-8,דירה בבית קומות,5,קרקע ראשונה,1990,"18,086 ₪",1
ראול ולנברג 9,105.29,29/12/2013,"1,650,000 ₪",10794-138-29,דירה בבית קומות,4,שמינית,1980,"15,671 ₪",10
אלברט שוויצר 27,177.52,26/12/2013,"2,524,000 ₪",10793-81-9,דירה בבית קומות,6,"קומה 1, קומה 2, קומה 3, קומה 4",1990,"14,218 ₪",7
מארק שאגאל 21,140,10/12/2013,"2,749,000 ₪",10794-94-1,דירה בבית קומות,5,לא ידוע,2005,"19,636 ₪",1
פרויד 36,110.65,10/12/2013,"1,700,000 ₪",10785-43-7,דירה בבית קומות,4,"חמישית , שישית",1970,"15,364 ₪",5
סירני 13,223.12,08/12/2013,"2,220,000 ₪",10792-179-3,דירה בבית קומות,6,מרתף קרקע ראשונה ועליית גג,1988,"9,950 ₪",0
ראול ולנברג 3,116.7,03/12/2013,"1,900,000 ₪",10794-102-5,דירה בבית קומות,5,שניה,1996,"16,281 ₪",2
סירני 5,145,14/11/2013,"1,800,000 ₪",10792-174-3,דירה בבית קומות,5,לא ידוע,1985,"12,414 ₪",1
פרויד 20,86.59,04/11/2013,"1,240,000 ₪",10785-68-11,דירה בבית קומות,4,שלישית,1996,"14,419 ₪",4
פרויד 20,86.59,17/07/2013,"1,200,000 ₪",10785-68-11,דירה בבית קומות,4,שלישית,1996,"14,419 ₪",4
טוסקניני 9,120,24/10/2013,"2,140,000 ₪",10792-242-2,דירה בבית קומות,6,לא ידוע,2002,"17,833 ₪",1
פרויד 37,130.5,18/10/2013,"1,430,000 ₪",10785-54-3,דירה בבית קומות,5,שלישית,1970,"10,958 ₪",4
פרץ ברנשטיין 14,150.4,22/08/2013,"2,630,000 ₪",10794-119-1,דירה בבית קומות,5,קרקע ראשונה ושניה,1994,"17,487 ₪",2
אלברט שוויצר 60,117.67,13/08/2013,"2,199,000 ₪",10792-154-4,דירה בבית קומות,5,ראשונה ושניה,1991,"18,795 ₪",1
אלברט שוויצר 60,117.67,17/11/2010,"1,325,000 ₪",10792-154-4,דירה בבית קומות,5,ראשונה ושניה,1991,"18,795 ₪",1
פרץ ברנשטיין 1,120.09,31/07/2013,"462,000 ₪",10794-97-5,דירה בבית קומות,5,ראשונה,1990,"3,847 ₪",2
אלברט שוויצר 49,160,25/07/2013,"2,600,000 ₪",10792-149-3,דירה בבית קומות,5,שלישית,1995,"16,250 ₪",1
אלברט שוויצר 23,153.98,03/07/2013,"2,140,000 ₪",10793-83-4,דירה בבית קומות,5,מרתף קרקע ראשונה ושניה,1986,"13,898 ₪",2
