כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ללא כתובת,50.08,14/09/2010,"225,000 ₪",10867-127-5,דירה בבית קומות,2.5,ראשונה,0,"10,740 ₪",0
אהבת ישראל 16,94.09,08/09/2015,"1,100,000 ₪",11188-131-5,דירה בבית קומות,4,שלישית,2010,"11,702 ₪",6
אהבת ישראל 16,94.09,25/08/2013,"925,000 ₪",11188-131-5,דירה בבית קומות,4,שלישית,2010,"11,702 ₪",6
אהבת ישראל 12,95.9,05/08/2015,"1,073,000 ₪",11188-129-11,דירה בבית קומות,4,חמישית,2007,"11,295 ₪",8
אהבת ישראל 12,95.9,05/04/2012,"910,000 ₪",11188-129-11,דירה בבית קומות,4,חמישית,2007,"11,295 ₪",8
זבולון 15,57,15/07/2015,"580,000 ₪",10907-36-16,דירה בבית קומות,2.5,ראשונה,1950,"10,175 ₪",3
אהבת ישראל 6,120,14/07/2015,"1,100,000 ₪",11188-1-7,דירה בבית קומות,6,שלישית,2000,"9,167 ₪",8
ללא כתובת,75,02/07/2015,"930,000 ₪",11188-61-9,דירה בבית קומות,3,שניה,0,"12,400 ₪",0
הרב קניאל 11,68.9,01/07/2015,"725,000 ₪",10870-98-110,דירה בבית קומות,3,שמונה עשרה,1970,"10,522 ₪",22
מקור ברוך 10,220.53,22/06/2015,"2,200,000 ₪",11188-99-19,דירה בבית קומות,5.5,שלישית,1968,"9,976 ₪",5
אהבת ישראל 12,124.27,18/06/2015,"1,400,000 ₪",11188-129-22,דירה בבית קומות,5,שמינית,2007,"11,290 ₪",8
אהבת ישראל 12,124.27,23/06/2004,"932,000 ₪",11188-129-22,דירה בבית קומות,5,שמינית,2007,"11,290 ₪",8
אהבת ישראל 16,81.91,10/06/2015,"900,000 ₪",11188-131-11,דירה בבית קומות,3,חמישית,2010,"10,988 ₪",6
מקור ברוך 8,70,09/06/2015,"530,000 ₪",11188-98-3,דירה בבית קומות,4,קרקע,1960,"7,571 ₪",3
מקור ברוך 8,70,13/02/2012,"663,000 ₪",11188-98-3,דירה בבית קומות,4,קרקע,1960,"7,571 ₪",3
מקור ברוך 8,55.1,02/06/2015,"840,000 ₪",11188-98-10,דירה בבית קומות,3,שניה,1960,"15,273 ₪",3
מקור ברוך 8,55.1,06/01/2012,"600,000 ₪",11188-98-10,דירה בבית קומות,3,שניה,1960,"15,273 ₪",3
מקור ברוך 8,55.1,28/08/2002,"479,000 ₪",11188-98-10,דירה בבית קומות,3,שניה,1960,"15,273 ₪",3
מקור ברוך 8,55.1,14/05/1999,"543,000 ₪",11188-98-10,דירה בבית קומות,3,שניה,1960,"15,273 ₪",3
ללא כתובת,80,01/06/2015,"900,000 ₪",11188-57-1,דירה בבית קומות,4,לא ידוע,0,"11,250 ₪",0
אהבת ישראל 4,80,28/05/2015,"979,000 ₪",11188-1-6,דירה בבית קומות,4,שישית,2000,"12,238 ₪",8
אהבת ישראל 4,60,26/05/2015,"1,000,000 ₪",11188-1-5,דירה בבית קומות,3,חמישית,2000,"16,667 ₪",8
מיכאל 43,21,25/05/2015,"167,000 ₪",10907-39-8,דירה בבית קומות,2,לא ידוע,1935,"7,952 ₪",2
אהבת ישראל 4,60,13/05/2015,"850,000 ₪",11188-1-4,דירה בבית קומות,3,שלישית,2000,"14,167 ₪",8
הרב קניאל 1,50,31/03/2015,"82,000 ₪",10870-99-7,חנות,לא ידוע,ראשונה,1970,"1,640 ₪",4
מקור ברוך 18,לא ידוע,17/03/2015,"280,000 ₪",11188-84-1,דירה בבית קומות,1,מרתף,1960,לא ידוע,3
זבולון 15,78.38,10/02/2015,"750,000 ₪",10907-36-11,דירה בבית קומות,3,שניה,1950,"9,615 ₪",3
זבולון 15,78.38,25/12/2012,"700,000 ₪",10907-36-11,דירה בבית קומות,3,שניה,1950,"9,615 ₪",3
ללא כתובת,50.08,09/02/2015,"450,000 ₪",10867-127-8,דירה בבית קומות,3,שניה,0,"8,986 ₪",0
ללא כתובת,98,03/02/2015,"1,050,000 ₪",11188-59-1,דירה בבית קומות,4,שמינית,0,"10,714 ₪",0
אהבת ישראל 6,107,29/01/2015,"1,130,000 ₪",11188-1-3,דירה בבית קומות,5,שמינית,2000,"10,561 ₪",8
מקור ברוך 10,59,15/01/2015,"725,000 ₪",11188-99-9,דירה בבית קומות,3,שניה,1968,"12,288 ₪",5
"האר""י 24",59.3,24/12/2014,"590,000 ₪",11188-121-17,דירה בבית קומות,2,ראשונה,1970,"9,949 ₪",5
"האר""י 20",59.3,16/12/2014,"475,000 ₪",11188-121-1,דירה בבית קומות,2,ראשונה,1970,"8,010 ₪",5
ללא כתובת,40.3,27/11/2014,"490,000 ₪",10867-217-5,דירה בבית קומות,2,שניה,0,"12,250 ₪",0
ללא כתובת,40.3,07/07/2010,"170,000 ₪",10867-217-5,דירה בבית קומות,2,שניה,0,"12,250 ₪",0
ללא כתובת,40.3,14/10/2009,"130,000 ₪",10867-217-5,דירה בבית קומות,2,שניה,0,"12,250 ₪",0
ללא כתובת,40.3,30/10/2014,"373,000 ₪",10867-217-2,דירה בבית קומות,2,ראשונה,0,"9,256 ₪",0
