כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
יעקב חזן 49,91.72,02/03/2021,"1,240,000 ₪",12449-5-55,דירה בבית קומות,4,רביעית,1980,"13,519 ₪",7
הגליל 11,74,01/03/2021,"1,170,000 ₪",11211-33-9,דירה בבית קומות,4,שלישית,1960,"15,811 ₪",3
הגליל 11,74,23/07/2018,"910,000 ₪",11211-33-9,דירה בבית קומות,4,שלישית,1960,"15,811 ₪",3
מצפה 22,83,25/02/2021,"1,375,000 ₪",11213-6-6,דירה בבית קומות,5,ראשונה,1960,"16,566 ₪",2
חניתה 3,לא ידוע,24/02/2021,"2,190,000 ₪",11211-66-8,קומבינציה,לא ידוע,מרתף -1,1980,לא ידוע,2
גדליהו 11,45.3,21/02/2021,"740,000 ₪",12447-8-37,דירה בבית קומות,3,ראשונה,1960,"16,336 ₪",6
הגליל 127,85,10/02/2021,"1,620,000 ₪",12617-9-11,דירת גן,4,חמישית,1995,"19,059 ₪",6
הגליל 127,85,02/08/2020,"1,350,000 ₪",12617-9-11,דירת גן,4,חמישית,1995,"19,059 ₪",6
חניתה 65,48.25,09/02/2021,"375,000 ₪",10882-160-6,דירה בבית קומות,2,ראשונה,1960,"7,772 ₪",2
חן 47,96.52,02/02/2021,"1,000,000 ₪",10878-35-9,דירה בבית קומות,4,שישית,1980,"10,417 ₪",8
חן 47,96.52,23/02/2011,"660,000 ₪",10878-35-9,דירה בבית קומות,4,שישית,1980,"10,417 ₪",8
גדליהו 8,38.9,01/02/2021,"822,000 ₪",10893-9-10,דירה בבית קומות,2,ראשונה,1960,"21,632 ₪",4
גדליהו 8,38.9,19/01/2017,"695,000 ₪",10893-9-10,דירה בבית קומות,2,ראשונה,1960,"21,632 ₪",4
גדליהו 8,38.9,19/01/2004,"276,000 ₪",10893-9-10,דירה בבית קומות,2,ראשונה,1960,"21,632 ₪",4
