כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
פאר 24,62.2,"462,500 ₪","925,000 ₪",12497-1-3,דירה בבית קומות,4,ראשונה,1960,"14,919 ₪",3
יד לבנים 138,83.95,20/09/2022,"1,020,000 ₪",11720-41-1,דירה בבית קומות,3,ראשונה,1970,"12,150 ₪",4
פאר 31,68.6,19/09/2022,"860,000 ₪",12483-25-10,דירה בבית קומות,3,רביעית,1960,"12,536 ₪",4
פאר 68,51.23,19/09/2022,"218,000 ₪",11720-43-7,דירה בבית קומות,2,רביעית,1970,"4,255 ₪",4
דוד רזיאל 32,40.14,14/09/2022,"690,000 ₪",12486-25-5,דירה בבית קומות,2,שניה,1950,"17,190 ₪",3
פאר 52,47.4,11/09/2022,"680,000 ₪",11720-31-7,דירה בבית קומות,3,רביעית,1970,"14,468 ₪",4
פאר 52,47.4,05/04/2016,"410,000 ₪",11720-31-7,דירה בבית קומות,3,רביעית,1970,"14,468 ₪",4
פאר 52,47.4,24/11/2013,"393,000 ₪",11720-31-7,דירה בבית קומות,3,רביעית,1970,"14,468 ₪",4
הירדן 35,125.55,08/09/2022,"1,100,000 ₪",12485-10-2,דירה בבית קומות,4,קרקע,1970,"8,800 ₪",3
הירדן 35,125.55,27/08/2017,"600,000 ₪",12485-10-2,דירה בבית קומות,4,קרקע,1970,"8,800 ₪",3
הירדן 35,125.55,26/02/2017,"540,000 ₪",12485-10-2,דירה בבית קומות,4,קרקע,1970,"8,800 ₪",3
הירדן 35,125.55,08/11/2010,"506,700 ₪",12485-10-2,דירה בבית קומות,4,קרקע,1970,"8,800 ₪",3
רזיאל דוד 63,54.2,07/09/2022,"360,000 ₪",12483-8-11,דירה בבית קומות,2,שלישית,1950,"6,667 ₪",4
רזיאל דוד 63,54.2,21/12/2021,"691,900 ₪",12483-8-11,דירה בבית קומות,2,שלישית,1950,"6,667 ₪",4
רזיאל דוד 63,54.2,29/07/2004,"158,000 ₪",12483-8-11,דירה בבית קומות,2,שלישית,1950,"6,667 ₪",4
יוסף וינר 17,81.3,06/09/2022,"1,025,000 ₪",12494-21-30,דירה בבית קומות,4,שביעית,1970,"12,608 ₪",8
יד לבנים 12,61.7,06/09/2022,"765,000 ₪",12485-12-3,דירה בבית קומות,2,קרקע,1960,"12,399 ₪",2
