כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
התורן 20,61.24,16/09/2024,"1,600,000 ₪",11672-19-11,דירה בבית קומות,2.5,שניה,1950,"26,230 ₪",4
התורן 20,61.24,18/07/2019,"875,000 ₪",11672-19-11,דירה בבית קומות,2.5,שניה,1950,"26,230 ₪",4
התורן 12,61.24,04/09/2024,"550,000 ₪",11672-21-7,דירה בבית קומות,2,רביעית,1950,"8,981 ₪",4
גנרל קניג פייר 1,66.4,26/08/2024,"1,470,000 ₪",10906-301-5,דירה בבית קומות,3,שניה,1998,"22,139 ₪",8
יאיר שטרן 17,48.2,14/08/2024,"930,000 ₪",10802-160-14,דירה בבית קומות,2.5,רביעית,1960,"19,295 ₪",4
ללא כתובת,164,17/07/2024,"363,000 ₪",10802-61-1,ללא תיכנון,לא ידוע,לא ידוע,0,"2,213 ₪",0
העוגן 41,106,01/07/2024,"1,300,000 ₪",10906-1-3,דירה בבית קומות,3,שניה,1943,"12,264 ₪",2
ירמיהו הלפרן 7,967,30/05/2024,"6,435,000 ₪",10802-87-1,קרקע למגורים,לא ידוע,לא ידוע,0,"6,655 ₪",0
ההגה 8,54,11/04/2024,"650,000 ₪",10802-18-2,דירה בבית קומות,3,ראשונה,1970,"12,037 ₪",2
התורן 25,84,19/03/2024,"2,600,000 ₪",10802-30-2,דירה בבית קומות,3,קרקע,1930,"30,952 ₪",1
יאיר שטרן 17,59.3,13/03/2024,"1,040,000 ₪",10802-160-16,דירה בבית קומות,3,רביעית,1960,"17,627 ₪",4
התורן 41,56.22,11/03/2024,"1,300,000 ₪",10906-9-5,דירה בבית קומות,3,שניה,1972,"23,214 ₪",3
התורן 41,56.22,03/04/2018,"1,000,000 ₪",10906-9-5,דירה בבית קומות,3,שניה,1972,"23,214 ₪",3
התורן 41,56.22,03/10/2007,"296,000 ₪",10906-9-5,דירה בבית קומות,3,שניה,1972,"23,214 ₪",3
ירמיהו הלפרן 3,108,19/02/2024,"2,400,000 ₪",10802-85-4,דירה בבית קומות,5,שלישית,2005,"22,222 ₪",4
ירמיהו הלפרן 3,108,29/01/2020,"2,200,000 ₪",10802-85-4,דירה בבית קומות,5,שלישית,2005,"22,222 ₪",4
ירמיהו הלפרן 3,108,17/12/2015,"2,200,000 ₪",10802-85-4,דירה בבית קומות,5,שלישית,2005,"22,222 ₪",4
ירמיהו הלפרן 3,108,30/04/2008,"1,300,000 ₪",10802-85-4,דירה בבית קומות,5,שלישית,2005,"22,222 ₪",4
התורן 40,63.7,26/01/2024,"1,700,000 ₪",11672-12-2,דירה בבית קומות,3.5,קרקע,1960,"26,688 ₪",3
יוברט המפרי 27,56.82,31/12/2023,"2,206,000 ₪",11673-5-2,דירה בבית קומות,3,קרקע,1948,"38,824 ₪",1
יוברט המפרי 13,לא ידוע,19/09/2023,"2,687,000 ₪",11673-12-2,קרקע למגורים,לא ידוע,קרקע,1960,לא ידוע,0
העוגן 10,282,19/09/2023,"1,000,000 ₪",10802-6-2,קרקע למגורים,לא ידוע,לא ידוע,1970,"3,546 ₪",0
התורן 30,61.24,03/09/2023,"1,285,000 ₪",11672-15-8,דירה בבית קומות,3,רביעית,1960,"21,066 ₪",4
התורן 30,61.24,16/09/2003,"381,000 ₪",11672-15-8,דירה בבית קומות,3,רביעית,1960,"21,066 ₪",4
התורן 30,61.24,03/09/2023,חלק נמכר,11672-15-8,דירה בבית קומות,3,רביעית,1960,"21,066 ₪",4
התורן 30,61.24,מחיר,1,11672-15-8,דירה בבית קומות,3,רביעית,1960,"21,066 ₪",4
התורן 30,61.24,50%,"642,500 ₪",11672-15-8,דירה בבית קומות,3,רביעית,1960,"21,066 ₪",4
התורן 30,61.24,2,50%,11672-15-8,דירה בבית קומות,3,רביעית,1960,"21,066 ₪",4
התורן 30,61.24,"642,500 ₪","1,285,000 ₪",11672-15-8,דירה בבית קומות,3,רביעית,1960,"21,066 ₪",4
התורן 28,63.7,07/08/2023,"1,500,000 ₪",11672-16-7,דירה בבית קומות,3,שלישית,1960,"23,810 ₪",3
התורן 28,63.7,02/01/1998,"413,000 ₪",11672-16-7,דירה בבית קומות,3,שלישית,1960,"23,810 ₪",3
גנרל קניג פייר 5,66.4,19/06/2023,"1,390,000 ₪",10906-301-61,דירה בבית קומות,3,שניה,1998,"20,934 ₪",8
יאיר שטרן 27,60.1,25/05/2023,"1,000,000 ₪",10802-162-13,דירה בבית קומות,3,רביעית,1970,"16,639 ₪",4
יאיר שטרן 15,48.2,27/04/2023,"600,000 ₪",10802-160-26,דירה בבית קומות,2.5,שלישית,1960,"12,448 ₪",4
יאיר שטרן 29,60.1,11/04/2023,"1,000,000 ₪",10802-162-25,דירה בבית קומות,3,שלישית,1960,"16,667 ₪",4
יאיר שטרן 29,60.1,05/10/2011,"313,000 ₪",10802-162-25,דירה בבית קומות,3,שלישית,1960,"16,667 ₪",4
יאיר שטרן 25,60.1,02/04/2023,"336,000 ₪",10802-161-21,דירה בבית קומות,3,שניה,1960,"5,591 ₪",4
יאיר שטרן 15,59.3,02/04/2023,"1,000,000 ₪",10802-160-25,דירה בבית קומות,3,שלישית,1960,"16,863 ₪",4
יאיר שטרן 25,47.9,19/03/2023,"860,000 ₪",10802-161-32,דירה בבית קומות,2,רביעית,1960,"18,298 ₪",4
יאיר שטרן 25,47.9,28/07/2020,"630,000 ₪",10802-161-32,דירה בבית קומות,2,רביעית,1960,"18,298 ₪",4
